CNPJ_CIA;TICKER;RAZAO_CVM
16.404.287/0001-55;SUZB3;SUZANO S.A.
14.807.945/0001-24;SNSY3;SANSUY S.A. INDUSTRIA DE PLASTICOS
76.484.013/0001-45;SAPR4;CIA SANEAMENTO DO PARANA - SANEPAR
76.484.013/0001-45;SAPR3;CIA SANEAMENTO DO PARANA - SANEPAR
76.484.013/0001-45;SAPR11;CIA SANEAMENTO DO PARANA - SANEPAR
61.065.751/0001-80;RSID3;ROSSI RESIDENCIAL S.A.
16.670.085/0001-55;RENT4;LOCALIZA RENT A CAR S.A.
61.584.140/0001-49;REDE3;REDE ENERGIA PARTICIPAÇÕES S.A.
11.992.680/0001-93;QUAL3;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.
18.494.485/0001-82;PSVM11;PORTO SUDESTE V.M. S.A.
10.629.105/0001-68;PRIO3;PETRO RIO S.A.
15.073.274/0001-88;PPLA11;PPLA PARTICIPATIONS LTD.
60.398.369/0004-79;PMAM3;PARANAPANEMA S.A.
09.112.685/0001-32;OSXB3;OSX BRASIL S.A.
76.535.764/0001-43;OIBR3;OI S.A.
76.535.764/0001-43;OIBR4;OI S.A.
20.258.278/0001-70;OFSA3;OURO FINO SAUDE ANIMAL PARTICIPACOES S.A.
60.884.319/0001-59;NORD3;NORDON INDUSTRIAS METALURGICAS S.A.
27.093.558/0001-15;MILS3;MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.
93.828.986/0001-73;MAPT3;CEMEPE INVESTIMENTOS S.A.
02.351.877/0001-52;LWSA3;LOCAWEB SERVIÇOS DE INTERNET S.A.
89.463.822/0001-12;LUPA3;LUPATECH S.A.
03.378.521/0001-75;LIGT3;LIGHT S.A.
52.548.435/0001-79;JSLG3;JSL S.A.
08.294.224/0001-65;JHSF3;JHSF PARTICIPACOES S.A.
33.035.536/0001-00;JFEN3;JOAO FORTES ENGENHARIA S.A.
60.543.816/0001-93;IGTI4;IGUATEMI S.A
60.543.816/0001-93;IGTI3;IGUATEMI S.A
60.543.816/0001-93;IGTI11;IGUATEMI S.A
33.200.049/0001-47;HOOT4;HOTEIS OTHON S.A.
92.749.225/0001-63;HETA4;HERCULES S.A. FABRICA DE TALHERES
30.540.991/0001-66;HAGA4;HAGA S.A. INDUSTRIA E COMERCIO
30.540.991/0001-66;HAGA3;HAGA S.A. INDUSTRIA E COMERCIO
08.764.621/0001-53;GSHP3;GENERAL SHOPPING E OUTLETS DO BRASIL S.A.
89.850.341/0001-60;GRND3;GRENDENE S.A.
02.998.301/0001-81;GEPA4;RIO PARANAPANEMA ENERGIA S.A.
02.998.301/0001-81;GEPA3;RIO PARANAPANEMA ENERGIA S.A.
56.643.018/0001-66;EUCA4;EUCATEX S.A. INDUSTRIA E COMERCIO
56.643.018/0001-66;EUCA3;EUCATEX S.A. INDUSTRIA E COMERCIO
04.895.728/0001-80;EQPA5;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
04.895.728/0001-80;EQPA3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
06.272.793/0001-84;EQMA3B;Equatorial Maranhão Distribuidora de Energia S.A. 
03.467.321/0001-99;ENMT4;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A
03.467.321/0001-99;ENMT3;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A
02.302.101/0001-42;EMAE4;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.
02.328.280/0001-97;EKTR4;ELEKTRO REDES S.A.
08.170.849/0001-15;DESK3;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A.
04.032.433/0001-80;CTAX3;CONTAX PARTICIPAÇÕES S.A.
17.281.106/0001-03;CSMG3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG
50.746.577/0001-15;CSAN3;COSAN S.A.
76.483.817/0001-20;CPLE3;CIA PARANAENSE DE ENERGIA - COPEL
07.047.251/0001-70;COCE5;CIA ENERGETICA DO CEARA - COELCE
61.856.571/0001-17;CGAS5;CIA GAS DE SAO PAULO - COMGAS
61.856.571/0001-17;CGAS3;CIA GAS DE SAO PAULO - COMGAS
15.139.629/0001-94;CEEB3;CIA ELETRICIDADE EST. DA BAHIA - COELBA
45.242.914/0001-05;CEAB3;CEA MODAS S.A.
61.088.894/0001-08;CAMB3;CAMBUCI S.A.
61.022.042/0001-18;CALI3;CONSTRUTORA ADOLPHO LINDENBERG S.A.
03.847.461/0001-92;BRAP4;BRADESPAR S.A.
03.847.461/0001-92;BRAP3;BRADESPAR S.A.
50.564.053/0001-03;BOBR4;BOMBRIL S.A.
07.237.373/0001-20;BNBR3;BCO NORDESTE DO BRASIL S.A.
